"year","month","CLBJ","CPER","KONZ","MOAB","OAES","ONAQ","SRER","UKFS","WOOD","tBin"
2016,4,297.053333333333,287.96,294.176666666667,289.943333333333,296.096666666667,288.976666666667,299.316666666667,294.013333333333,284.623333333333,4
2016,5,299.693548387097,291.78064516129,296.329032258065,294.683870967742,299.367741935484,292.803225806452,302.954838709677,295.987096774194,294.525806451613,5
2016,6,305.723333333333,303.336666666667,305.71,305.676666666667,306.393333333333,304.19,309.256666666667,305.37,298.81,6
2016,7,308.483870967742,304.9,305.225806451613,305.548387096774,309.064516129032,305.709677419355,309.216129032258,304.274193548387,300.051612903226,7
2016,8,307,301.725806451613,302.970967741936,302.083870967742,307.467741935484,303.496774193548,305.783870967742,303.238709677419,299.509677419355,8
2016,9,304.403333333333,298.833333333333,300.546666666667,298.366666666667,302.87,297.37,303.703333333333,300.176666666667,293.913333333333,9
2016,10,300.596774193548,293.716129032258,295.783870967742,293.935483870968,299.141935483871,291.716129032258,303.748387096774,294.574193548387,286.293548387097,10
2016,11,294.076666666667,287.083333333333,289.2,286.3,292.426666666667,285.983333333333,296.003333333333,289.27,282.8,11
2016,12,287.190322580645,276.448387096774,277.609677419355,277.912903225806,283.08064516129,275.8,292.158064516129,277.332258064516,265.193548387097,12
2017,1,288.58064516129,276.896774193548,278.748387096774,276.654838709677,284.325806451613,274.125806451613,289.558064516129,279.451612903226,265.138709677419,13
2017,2,293.760714285714,283.367857142857,286.225,283.471428571429,291.135714285714,281.114285714286,293.917857142857,287.264285714286,270.935714285714,14
2017,3,296.845161290323,288.78064516129,288.077419354839,290.093548387097,294.093548387097,287.148387096774,299.796774193548,288.287096774194,275.545161290323,15
2017,4,297.726666666667,289.17,292.223333333333,290.54,294.496666666667,286.953333333333,301.57,292.626666666667,285.7,16
2017,5,302.28064516129,292.641935483871,297.090322580645,295.635483870968,300.174193548387,293.477419354839,303.767741935484,297.245161290323,293.135483870968,17
2017,6,304.84,300.706666666667,302.983333333333,305.31,305.24,302.336666666667,310.913333333333,302.54,298.083333333333,18
2017,7,308.293548387097,304.745161290323,305.883870967742,305.883870967742,309.093548387097,306.077419354839,307.316129032258,304.8,302.516129032258,19
2017,8,305.664516129032,300.996774193548,301.290322580645,304.093548387097,303.851612903226,303.612903225806,307.203225806452,301.429032258065,297.912903225806,20
2017,9,304.39,297.396666666667,301.78,299.026666666667,301.963333333333,295.823333333333,305.88,301.333333333333,294.45,21
2017,10,298.870967741935,289.383870967742,293.964516129032,292.516129032258,296.893548387097,289.164516129032,304.209677419355,293.793548387097,287.332258064516,22
2017,11,294.893333333333,286.343333333333,286.366666666667,288.7,291.363333333333,286.403333333333,300.126666666667,286.063333333333,274.8,23
2017,12,286.748387096774,279.932258064516,279.977419354839,280.81935483871,284.151612903226,279.906451612903,292.983870967742,279.841935483871,268.990322580645,24
2018,1,286.370967741935,280.345161290323,277.41935483871,280.093548387097,284.345161290323,280.809677419355,294.28064516129,277.061290322581,267.054838709677,25
2018,2,287.485714285714,277.05,279.225,281.882142857143,285.078571428571,279.289285714286,292.646428571429,279.478571428571,265.207142857143,26
2018,3,295.190322580645,285.941935483871,286.941935483871,286.925806451613,293.01935483871,283.083870967742,296.790322580645,285.990322580645,273.977419354839,27
2018,4,295.51,288.69,288.773333333333,292.836666666667,294.256666666667,289.193333333333,302.503333333333,288.586666666667,280.63,28
2018,5,304.522580645161,295.012903225806,302.322580645161,298.61935483871,305.441935483871,294.554838709677,305.632258064516,302.587096774194,297.493548387097,29
2018,6,308.873333333333,302.86,305.753333333333,304.743333333333,308.04,302.076666666667,309.493333333333,304.886666666667,299.79,30
2018,7,311.161290322581,304.377419354839,305.954838709677,307.154838709677,308.906451612903,306.725806451613,308.458064516129,305.770967741935,300.91935483871,31
2018,8,308.158064516129,302.825806451613,304.067741935484,305.164516129032,306.990322580645,304.041935483871,307.164516129032,304.216129032258,300.338709677419,32
2018,9,302.233333333333,300.253333333333,299.28,301.466666666667,301.39,300.753333333333,306.473333333333,299.966666666667,292.616666666667,33
2018,10,295.432258064516,287.325806451613,290.8,288.074193548387,293.774193548387,288.077419354839,297.554838709677,291.054838709677,282.838709677419,34
2018,11,290.046666666667,281.01,280.746666666667,282.926666666667,286.98,281.226666666667,294.693333333333,281.396666666667,271.97,35
2018,12,286.016129032258,278.103225806452,279.864516129032,276.861290322581,283.422580645161,275.845161290323,290.567741935484,280.348387096774,271.138709677419,36
2019,1,285.229032258065,278.648387096774,276.316129032258,276.090322580645,282.754838709677,276.777419354839,290.645161290323,276.783870967742,265.167741935484,37
2019,2,287.303571428571,275.935714285714,274.289285714286,277.167857142857,282.675,277.353571428571,288.989285714286,275.842857142857,259.464285714286,38
2019,3,290.729032258065,279.529032258064,282.748387096774,284.435483870968,288.487096774194,282.558064516129,295.896774193548,283.209677419355,272.41935483871,39
2019,4,296.856666666667,287.973333333333,293.546666666667,291.273333333333,295.306666666667,288.13,299.816666666667,293.316666666667,284.353333333333,40
2019,5,300.203225806452,289.216129032258,295.183870967742,291.664516129032,298.267741935484,290.458064516129,300.251612903226,295.158064516129,290.612903225806,41
2019,6,304.39,298.173333333333,302.433333333333,300.966666666667,304.3,298.583333333333,308.46,302.093333333333,298.246666666667,42
2019,7,307.290322580645,304.41935483871,304.664516129032,305.81935483871,307.793548387097,305.335483870968,309.7,304.461290322581,300.290322580645,43
2019,8,308.745161290323,304.364516129032,302.374193548387,306.051612903226,309.241935483871,304.274193548387,308.841935483871,301.8,297.138709677419,44
2019,9,307.49,300.686666666667,302.876666666667,300.883333333333,306.606666666667,297.39,304.833333333333,302.436666666667,293.35,45
2019,10,297.038709677419,285.2,289.464516129032,289.477419354839,293.706451612903,286.312903225806,300.845161290323,289.677419354839,280.454838709677,46
2019,11,290.443333333333,280.81,283.623333333333,285.216666666667,287.91,284.39,295.316666666667,284.136666666667,273.876666666667,47
2019,12,288.745161290323,276.883870967742,280.877419354839,277.493548387097,286.035483870968,277.445161290323,290.267741935484,281.054838709677,268.016129032258,48
